序号,贴图名称,对应内容/装备,尺寸(宽×高),英文生成提示词
183,Items/Armor/StellarHelmet_Head.png,星渊头盔｜装备外观 头｜物品图标,20x16,"A detailed stellar helmet (melee) (星渊头盔). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
184,Items/Armor/StellarMask.png,星渊面具｜物品图标,20x20,"A detailed stellar mask (ranger) (星渊面具). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
185,Items/Armor/StellarMask_Head.png,星渊面具｜装备外观 头｜物品图标,20x16,"A detailed stellar mask (ranger) (星渊面具). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
186,Items/Armor/StellarHood.png,星渊兜帽｜物品图标,20x20,"A detailed stellar hood (mage) (星渊兜帽). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
187,Items/Armor/StellarHood_Head.png,星渊兜帽｜装备外观 头｜物品图标,20x16,"A detailed stellar hood (mage) (星渊兜帽). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
188,Items/Armor/StellarHeadgear.png,星渊头饰｜物品图标,20x20,"A detailed stellar headgear (summoner) (星渊头饰). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
189,Items/Armor/StellarHeadgear_Head.png,星渊头饰｜装备外观 头｜物品图标,20x16,"A detailed stellar headgear (summoner) (星渊头饰). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
190,Items/Armor/StellarBreastplate.png,星渊胸甲｜物品图标,20x20,"A detailed stellar breastplate (星渊胸甲). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
191,Items/Armor/StellarBreastplate_Body.png,星渊胸甲｜装备外观 身｜物品图标,20x28,"A detailed stellar breastplate (星渊胸甲). This is a chest/body armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
192,Items/Armor/StellarLeggings.png,星渊护腿｜物品图标,20x20,"A detailed stellar leggings (星渊护腿). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
193,Items/Armor/StellarLeggings_Legs.png,星渊护腿｜装备外观 腿｜物品图标,20x26,"A detailed stellar leggings (星渊护腿). This is a legs/pants armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
194,Items/Weapons/StellarDoomSword.png,星渊断罪｜物品图标,56x56,"A detailed stellar doom greatsword (星渊断罪). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 56x56 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
195,Items/Weapons/StellarAnnihilator.png,星渊湮灭炮｜物品图标,52x28,"A detailed stellar annihilator cannon (星渊湮灭炮). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 52x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
196,Items/Weapons/StellarCodex.png,星渊法典｜物品图标,40x40,"A detailed stellar codex tome (星渊法典). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
197,Items/Weapons/StellarLordStaff.png,星渊之主法杖｜物品图标,40x40,"A detailed stellar lord staff (星渊之主法杖). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
198,Items/Weapons/StellarWhip.png,星渊鞭｜物品图标,40x40,"A detailed stellar whip (星渊鞭). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
199,Items/Tools/StellarPickaxe.png,星渊镐｜物品图标,40x40,"A detailed stellar pickaxe (星渊镐). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
200,Items/Tools/StellarAxe.png,星渊斧｜物品图标,40x40,"A detailed stellar axe (星渊斧). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
201,Items/Tools/StellarHammer.png,星渊锤｜物品图标,40x40,"A detailed stellar hammer (星渊锤). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
202,Projectiles/StellarSlashBeam.png,星渊断罪剑气｜弹幕,40x40,"A detailed stellar slash beam (星渊断罪剑气). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
203,Projectiles/StellarBolt.png,星渊湮灭弹｜弹幕,16x16,"A detailed stellar bolt (星渊湮灭弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 16x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
204,Projectiles/StellarSpell.png,星渊咒弹｜弹幕,14x14,"A detailed stellar spell (星渊咒弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 14x14 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
205,Projectiles/StellarLord.png,星渊之主｜弹幕,34x34,"A detailed stellar lord minion (星渊之主). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 34x34 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
206,Projectiles/StellarWhipProjectile.png,星渊鞭｜弹幕,28x28,"A detailed stellar whip (星渊鞭). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
207,Projectiles/StellarDevourerBlast.png,星碎｜弹幕,18x18,"A detailed stellar devourer star blast (星碎). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 18x18 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
208,Buffs/StellarLordBuff.png,星渊之主｜增益/减益图标,32x32,"A detailed stellar lord buff icon (星渊之主). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
209,Mounts/VoidRider_Back.png,VoidRider｜坐骑 后层,40x40,"A detailed void rider mount creature (VoidRider). This is a back layer sprite of the mount creature: side view, creature occupying most of the frame, distinct fins/limbs/head, smooth silhouette.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
210,Mounts/VoidRider_Front.png,VoidRider｜坐骑 前层,40x40,"A detailed void rider mount creature (VoidRider). This is a front layer sprite of the mount creature: side view, creature occupying most of the frame, distinct fins/limbs/head, smooth silhouette.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
211,Items/Mounts/VoidRiderItem.png,虚空行者｜物品图标,30x26,"A detailed void rider mount item (虚空行者). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
212,Items/Accessories/VoidWings.png,虚空之翼｜物品图标,30x30,"A detailed void wings (虚空之翼). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
213,Items/Accessories/VoidWings_Wings.png,虚空之翼｜装备外观 翅膀｜物品图标,30x30,"A detailed void wings (虚空之翼). This is a wings pair worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
214,Items/Accessories/VoidFairyItem.png,虚空精灵｜物品图标,30x30,"A detailed void fairy pet item (虚空精灵). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
215,Buffs/VoidFairyBuff.png,虚空精灵｜增益/减益图标,32x32,"A detailed void fairy buff icon (虚空精灵). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
216,Projectiles/VoidFairy.png,虚空精灵｜弹幕,28x28,"A detailed void fairy pet (虚空精灵). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
217,Items/Hooks/VoidfallHookItem.png,归墟钩爪｜物品图标,30x30,"A detailed voidfall grappling hook (归墟钩爪). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
218,Items/Hooks/VoidfallHookChain.png,VoidfallHookChain｜物品图标,12x12,"A detailed VoidfallHookChain (VoidfallHookChain). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 12x12 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
